ID_RMC,Ciclo,Ramo,Nombre del programa,Derecho Social o Bienestar Económico (directo),Descripción del programa,Población Potencial,Población Objetivo,Población Atendida,Cobertura del programa (PA/PPx100),Eficiencia del programa (PA/POx100),Original,Modificado,Ejercido
51-E044,2016,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Atención a la Salud,Salud,"El programa tiene como objetivo disminuir la presencia de enfermedades transmisibles no controladas y su mortalidad asociada, a través del otorgamiento de servicios con calidad en las modalidades de atención de urgencias, consulta externa general y consulta externa especializada, así como mediante la atención hospitalaria general y de especialidad oportuna y eficaz, a los trabajadores al servicio del Estado, pensionados y sus familias.",9235118.0,2450450.0,2450450.0,26.53,100.0,25342.0,29428.44,29428.44
51-E043,2016,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prevención y Control de Enfermedades,Salud,"Disminuir la presencia de enfermedades transmisibles y no transmisibles (crónico degenerativas). La población beneficiaria corresponde a los diferentes grupos de edad del área de influencia y responsabilidad institucional, por lo que puede ser o no derechohabiente del ISSSTE. El beneficio se ofrece a través del Programa de Vacunación Universal, el cual es una política pública de salud que se lleva a cabo en todas las Instituciones del Sistema Nacional de Salud para lograr el control, eliminación y erradicación de las Enfermedades Prevenibles por Vacunación; asimismo, a la población derechohabiente se les realizan pruebas de detección de enfermedades crónico degenerativas.",9235118.0,3752705.0,3752705.0,40.64,100.0,800.32,902.38,902.38
51-E042,2016,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Atención a Personas con Discapacidad,Seguridad Social,"El programa tiene como objetivo concientizar a la derechohabiencia para transitar hacia una sociedad equitativa e incluyente, para ello impulsa acciones de promoción, prevención y atención de la discapacidad sensorial visual, sensorial auditiva, motriz y psicosocial, en eventos de sensibilización con apoyo de proyecciones en video y material impreso en las Delegaciones Estatales y Regionales; Unidades Médicas de Tercer Nivel; Unidades Administrativas Centrales y Desconcentradas del ISSSTE.",8540557.0,6520.0,6527.0,0.08,100.11,20.28,19.64,19.64
51-E036,2016,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Equidad de Género,No Discriminación,"El programa tiene como fin promover una cultura institucional basada en la igualdad entre mujeres y hombres, la no discriminación y el acceso de las mujeres a una vida libre de violencia, a través de estrategias y acciones de sensibilización, capacitación y difusión  (platicas, cursos, talleres, campañas entro otros), en beneficio de las trabajadoras y trabajadores del ISSSTE. Entre los temas abordados destacan construcción social del género, lenguaje incluyente, derechos sexuales y reproductivos, prevención de la violencia contra las mujeres y del  hostigamiento y acoso sexual en el ámbito laboral, masculinidad, trata de personas y responsabilidad legal de las/los servidores públicos.",101196.0,5059.0,5806.0,5.74,114.77,21.37,19.65,19.65
51-E018,2016,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Suministro de Claves de Medicamentos,Salud,"El programa tiene como objetivo mejorar las condiciones de salud de la población derechohabiente del ISSSTE, a través del surtimiento oportuno y completo de los medicamentos y materiales de curación en las farmacias adscritas a las Unidades Medicas del Instituto.",13106042.0,9118370.0,8221373.0,62.73,90.16,14316.59,12533.94,12533.94
50-E012,2016,Instituto Mexicano del Seguro Social,Prestaciones sociales,Seguridad Social,"Su objetivo es ofrecer a la población en general, derechohabiente y no derechohabiente, el acceso a un conjunto de prestaciones y servicios que ha ofrecido el IMSS a lo largo de su historia y que encuentran su origen en la Ley del Seguro Social. A partir del 2016, estas prestaciones y servicios se integraron en el programa presupuestario E012 Prestaciones sociales y son entregados a la población mediante: a) cursos, talleres y actividades complementarias sobre capacitación y adiestramiento, promoción de la salud, cultura y deporte, y desarrollo cultural; b) servicios de hospedaje, campamento, balneario, eventos y convenciones en los centros vacacionales; c) servicios funerarios en los velatorios IMSS-FIBESO; y d) comercialización de productos de consumo como abarrotes, productos de higiene personal, del hogar y enseres menores y mayores ofrecidos en las Tiendas de autoservicio. Los servicios se otorgan durante todo el ejercicio fiscal.",,,3953773.0,,,1337.97,1619.68,1618.73
50-E011,2016,Instituto Mexicano del Seguro Social,Atención a la Salud,Salud,"El programa contribuye a asegurar el acceso efectivo a servicios de salud con calidad mediante la atención médica ambulatoria y hospitalaria de los derechohabientes del IMSS. Para ello realiza acciones multidisciplinarias y de atención médica, con énfasis en la detección oportuna de enfermedades y protección específica, a través de consultas y atención médicas en las Unidades de Medicina Familiar, Hospitales de Segundo Nivel, Unidades de Atención Ambulatoria y Unidades Médicas de Alta Especialidad. Busca la mejora de la salud, la disminución de la morbilidad, la mortalidad materna y perinatal para incrementar la esperanza de vida al nacer de los derechohabientes. Las acciones se realizan durante todo el ejercicio fiscal.",61864971.0,53796439.0,44232940.0,71.5,82.22,189289.17,184171.54,184171.37
50-E007,2016,Instituto Mexicano del Seguro Social,Servicios de guardería,Seguridad Social,"El programa cubre el riesgo de no poder proporcionar cuidados durante la jornada de trabajo a sus hijos en la primera infancia de la mujer trabajadora, del trabajador viudo o divorciado, o de aquél al que se le hubiere confiado la custodia del menor o de sus hijos, desde los 43 días de nacido hasta los 4 años de edad. De manera específica, busca mejorar las condiciones de permanencia en el mercado laboral de quienes señala el artículo 201 de la Ley del Seguro Social, mediante servicios de cuidado y atención infantil que incluyen el aseo, la alimentación, el cuidado de la salud, la educación y la recreación de los menores. El servicio se proporciona en el turno matutino y vespertino, por lo que el hijo del trabajador cuya jornada de labores sea nocturna puede tener acceso a alguno de estos turnos.",1035420.0,236233.0,192683.0,18.61,81.56,10251.06,9782.3,9782.01
50-E003,2016,Instituto Mexicano del Seguro Social,Seguro de Riesgos de Trabajo,Salud,"Su objetivo es otorgar los servicios de Salud en el Trabajo que encuentran su origen en la Ley del Seguro Social y consisten de manera general en: a) prevención y, b) calificación y dictaminación. Para atender a la población asegurada cuenta con un grupo multidisciplinario compuesto principalmente de ingenieros especialistas en seguridad e higiene en el trabajo y de médicos especializados en medicina en el trabajo. La parte preventiva es llevada a cabo por el grupo de ingenieros con acciones de prevención de accidentes y enfermedades de trabajo en empresas afiliadas, a través de diversas líneas de acción como son cursos, asesorías, estudios y programas preventivos de seguridad e higiene en el trabajo, así como diagnósticos y evaluaciones de factores de riesgo en el ambiente de trabajo, entre otras. Por su parte, el personal médico se enfoca a la calificación de accidentes y enfermedades de trabajo, dictaminación de incapacidad permanente y defunción por riesgo de trabajo y, el establecimiento del estado de invalidez y beneficiario incapacitado. Los servicios se otorgan en días hábiles durante el ejercicio fiscal.",18164142.0,18164142.0,1565344.0,8.62,8.62,844.39,1192.67,1192.62
50-E001,2016,Instituto Mexicano del Seguro Social,Prevención y control de enfermedades,Salud,"El objetivo del programa es contribuir a proteger de los riesgos y daños a la salud más frecuentes a la población derechohabiente del Instituto Mexicano del Seguro Social (IMSS), mediante el otorgamiento de un paquete de  acciones preventivas por grupo de edad y sexo. El paquete de acciones preventivas incluye actividades de promoción de la salud, de vigilancia del estado de nutrición, de prevención y detección de enfermedades, así como de salud sexual y reproductiva, mismas que son otorgadas de manera anual a partir de los dos años de edad, generalmente en una sola atención, a través del Chequeo PREVENIMSS; mientras que en los menores de un año estas acciones se brindan cada dos meses y a las niñas y niños de un año de edad cada seis meses. Las actividades de promoción de la salud incluyen educación para el cuidado de la salud, actividad física, asesorías en salud bucal, mental y reproductiva; prevención de adicciones, accidentes y violencia; cultura de la donación e información sobre enfermedades para cada sexo y grupo de edad. La vigilancia del estado nutricional incluye actividades de seguimiento de la estatura, edad y peso.",62402342.0,44179305.0,28645591.0,45.9,64.84,2977.83,4080.71,4080.63
